CaseNo,CaseYr,Address,DateOpened,CaseType,Status,StatusDate,Closed
03680369EMER,2014,369 CHAMBERLAIN DR,05-13-2014,Housing,Closed Out,05-28-2014,true
16900170BRDUP,2014,170 E SEVENTH ST,05-13-2014,Housing,Closed Out,06-10-2014,true
09090193,2014,193 HEDGEWOOD CT,05-13-2014,Housing,Closed Out,08-12-2014,true
15753901#1313,2014,3901 RAPID RUN DR #1313,05-14-2014,Housing,Closed Out,07-01-2014,true
00750157,2014,157 ASHTON DR,05-14-2014,Housing,Closed Out,06-27-2014,true
40260680,2014,680 STANSBERRY CV,05-14-2014,Housing,Closed Out,08-05-2014,true
11960116EMER#8,2014,116 LONDONDERRY DR #8,05-14-2014,Housing,Closed Out,06-13-2014,true
04931021-3,2014,1021 CROSS KEYS RD,05-14-2014,Housing,Closed Out,06-25-2014,true
05022051-6,2014,2051 CUMMINS CT,05-14-2014,Housing,Closed Out,07-02-2014,true
04931025-2,2014,1025 CROSS KEYS RD,05-14-2014,Housing,Closed Out,07-25-2014,true
04931029-2,2014,1029 CROSS KEYS RD,05-14-2014,Housing,Closed Out,07-25-2014,true
32061657-3,2014,1657 MAYWICK VIEW LN,05-14-2014,Housing,Closed Out,08-12-2014,true
12721665,2014,1665 MAYWICK DR,05-14-2014,Housing,Closed Out,08-12-2014,true
10220459S,2014,459 JOHNSON AVE,05-15-2014,Housing,Closed Out,06-18-2014,true
15892617,2014,2617 REGENCY RD,05-15-2014,Housing,Closed Out,06-26-2014,true
06470563#8-3,2014,563 ELM TREE LN,05-15-2014,Housing,Closed Out,07-08-2014,true
07651200EMER-2,2014,1200 GAINESWAY DR,05-16-2014,Housing,Closed Out,05-30-2014,true
05672248-2256#108-4,2014,2248-2256 DINSMORE DR #108 (AKA 2256),05-16-2014,Housing,Closed Out,08-13-2014,true
22360979,2014,979 JAIRUS DR,05-16-2014,Housing,Closed Out,06-30-2014,true
06670701#A,2014,701 EUREKA SPRINGS DR #A,05-19-2014,Housing,Closed Out,06-25-2014,true
02500568#29,2014,568 N BROADWAY #29,05-19-2014,Housing,Closed Out,06-27-2014,true
16900170CONDEM,2014,170 E SEVENTH ST,05-19-2014,Housing,Closed Out,07-01-2014,true
12040244-2,2014,244 E LOUDON AVE,05-19-2014,Housing,Closed Out,07-01-2014,true
07861849-2,2014,1849 GERALD DR,05-19-2014,Housing,Closed Out,07-15-2014,true
07861857,2014,1857 GERALD DR,05-19-2014,Housing,Closed Out,07-15-2014,true
07861893-2,2014,1893 GERALD DR,05-19-2014,Housing,Closed Out,07-15-2014,true
00690416,2014,416 ASH ST,05-19-2014,Housing,Closed Out,07-15-2014,true
03100821-2,2014,821 CAMPBELL LN,05-19-2014,Housing,Closed Out,05-27-2014,true
03100819-2,2014,819 CAMPBELL LN,05-19-2014,Housing,Closed Out,06-10-2014,true
22660704,2014,704 GATEHOUSE PL,05-19-2014,Housing,Closed Out,07-21-2014,true
29021312-2,2014,1312 RED STONE DR,05-19-2014,Housing,Closed Out,08-05-2014,true
16000010S,2014,10 RICHMOND AVE,05-20-2014,Housing,Closed Out,08-07-2014,true
05111348S,2014,1348 DALE DR,05-20-2014,Housing,Closed Out,06-18-2014,true
05111321S,2014,1321 DALE DR,05-20-2014,Housing,Closed Out,06-18-2014,true
05111361S,2014,1361 DALE DR,05-20-2014,Housing,Closed Out,05-27-2014,true
05111365S,2014,1365 DALE DR,05-20-2014,Housing,Closed Out,07-15-2014,true
05111341S,2014,1341 DALE DR,05-20-2014,Housing,Closed Out,07-15-2014,true
18253876S,2014,3876 SUNDART DR,05-20-2014,Housing,Closed Out,07-15-2014,true
05111312S,2014,1312 DALE DR,05-20-2014,Housing,Closed Out,07-24-2014,true
05111316S,2014,1316 DALE DR,05-20-2014,Housing,Closed Out,07-24-2014,true
05111320S,2014,1320 DALE DR,05-20-2014,Housing,Closed Out,07-24-2014,true
05111337S,2014,1337 DALE DR,05-20-2014,Housing,Closed Out,07-24-2014,true
18253792S,2014,3792 SUNDART DR,05-20-2014,Housing,Closed Out,07-28-2014,true
18253773S,2014,3773 SUNDART DR,05-20-2014,Housing,Closed Out,08-04-2014,true
18253769S,2014,3769 SUNDART DR,05-20-2014,Housing,Closed Out,08-04-2014,true
05111364S,2014,1364 DALE DR,05-20-2014,Housing,Closed Out,08-04-2014,true
15753801S,2014,3801 RAPID RUN DR,05-20-2014,Housing,Closed Out,08-05-2014,true
05111353S,2014,1353 DALE DR,05-20-2014,Housing,Closed Out,08-06-2014,true
05111356S,2014,1356 DALE DR,05-20-2014,Housing,Closed Out,08-06-2014,true
19440640-3,2014,640 N UPPER ST,05-20-2014,Housing,Closed Out,08-04-2014,true
07770610,2014,610 GAY PL,05-20-2014,Housing,Closed Out,06-27-2014,true
07770634,2014,634 GAY PL,05-20-2014,Housing,Closed Out,06-27-2014,true
07770646,2014,646 GAY PL,05-20-2014,Housing,Closed Out,06-27-2014,true
07770650,2014,650 GAY PL,05-20-2014,Housing,Closed Out,06-27-2014,true
07770654,2014,654 GAY PL,05-20-2014,Housing,Closed Out,06-27-2014,true
07770635,2014,635 GAY PL,05-20-2014,Housing,Closed Out,06-27-2014,true
07770631,2014,631 GAY PL,05-20-2014,Housing,Closed Out,06-27-2014,true
07770627,2014,627 GAY PL,05-20-2014,Housing,Closed Out,06-27-2014,true
07770619,2014,619 GAY PL,05-20-2014,Housing,Closed Out,06-27-2014,true
07770603,2014,603 GAY PL,05-20-2014,Housing,Closed Out,06-27-2014,true
07770606,2014,606 GAY PL,05-20-2014,Housing,Closed Out,07-29-2014,true
07770622,2014,622 GAY PL,05-20-2014,Housing,Closed Out,08-05-2014,true
23341004S,2014,1004 TURNBERRY LN,05-21-2014,Housing,Closed Out,08-08-2014,true
23341001S,2014,1001 TURNBERRY LN,05-21-2014,Housing,Closed Out,08-04-2014,true
14820148S,2014,148 PENMOKEN PARK,05-21-2014,Housing,Closed Out,08-04-2014,true
14820138S,2014,138 PENMOKEN PARK,05-21-2014,Housing,Closed Out,08-04-2014,true
12423351S,2014,3351 MANTILLA DR,05-21-2014,Housing,Closed Out,08-05-2014,true
11272111S2,2014,2111 LANSILL RD,05-21-2014,Housing,Closed Out,08-05-2014,true
15080228,2014,228 PINDELL CT,05-21-2014,Housing,Closed Out,08-14-2014,true
07990485,2014,485 GLENDORA CT,05-21-2014,Housing,Closed Out,07-23-2014,true
33420057-3,2014,57 IMPERIAL AVE,05-21-2014,Housing,Closed Out,07-01-2014,true
33420047-4,2014,47 IMPERIAL AVE,05-21-2014,Housing,Closed Out,07-01-2014,true
03641272-4,2014,1272 CENTRE PKWY,05-22-2014,Housing,Closed Out,07-02-2014,true
05111325S,2014,1325 DALE DR,05-22-2014,Housing,Closed Out,06-27-2014,true
21433204S,2014,3204 FOXCHASE CT,05-22-2014,Housing,Closed Out,07-21-2014,true
12140820S,2014,820 LYNN RD,05-22-2014,Housing,Closed Out,08-05-2014,true
13323221-2,2014,3221 MONIDA CT,05-22-2014,Housing,Closed Out,08-05-2014,true
14820134S,2014,134 PENMOKEN PARK,05-23-2014,Housing,Closed Out,08-05-2014,true
13591140CONDEM,2014,1140 MT RUSHMORE WAY,05-23-2014,Housing,Closed Out,07-02-2014,true
19014751BRDUP,2014,4751 TODDS RD,05-23-2014,Housing,Closed Out,07-01-2014,true
40463173-2,2014,3173 SCOTTISH TRCE,05-23-2014,Housing,Closed Out,08-15-2014,true
31593576,2014,3576 FOREST COVE LN,05-27-2014,Housing,Closed Out,07-21-2014,true
04171604-1606,2014,1604-1606 CLAYS MILL RD,05-27-2014,Housing,Closed Out,07-02-2014,true
13973820#611,2014,3820 NICHOLASVILLE RD #611,05-27-2014,Housing,Closed Out,07-25-2014,true
07280136S,2014,136 FOREST AVE,05-28-2014,Housing,Closed Out,07-15-2014,true
12300175#6,2014,175 MALABU DR #6,05-28-2014,Housing,Closed Out,07-08-2014,true
15040230-232-2,2014,230-232 PIN OAK DR,05-28-2014,Housing,Closed Out,07-08-2014,true
14403384,2014,3384 OTTER CREEK DR,05-29-2014,Housing,Closed Out,07-21-2014,true
14461825-3,2014,1825 OXFORD CIR,05-29-2014,Housing,Closed Out,07-08-2014,true
19601510#G75,2014,1510 VERSAILLES RD #G75,05-29-2014,Housing,Closed Out,07-25-2014,true
09300859-3,2014,859 W HIGH ST,05-29-2014,Housing,Closed Out,08-13-2014,true
19013200#901,2014,3200 TODDS RD #901,05-30-2014,Housing,Closed Out,07-16-2014,true
15033090EMER,2014,3090 PIMLICO PKWY,06-02-2014,Housing,Closed Out,07-21-2014,true
22650481EMER,2014,481 WHISPERING HILLS DR,06-02-2014,Housing,Closed Out,06-13-2014,true
15850420#905,2014,420 REDDING RD #905,06-02-2014,Housing,Closed Out,07-24-2014,true
02500568#15,2014,568 N BROADWAY #15,06-02-2014,Housing,Closed Out,07-21-2014,true
06001881,2014,1881 DUNKIRK DR,06-02-2014,Housing,Closed Out,08-12-2014,true
21100206,2014,206 WOODSPOINT RD,06-03-2014,Housing,Closed Out,07-25-2014,true
11580257CONDEM,2014,257 LEXINGTON AVE,06-04-2014,Housing,Closed Out,07-21-2014,true
25922332S,2014,2332 ABBEYWOOD PL,06-05-2014,Housing,Closed Out,06-09-2014,true
04813500S2,2014,3500 CREEKWOOD DR,06-05-2014,Housing,Closed Out,07-15-2014,true
25922332S2,2014,2332 ABBEYWOOD PL,06-05-2014,Housing,Closed Out,07-28-2014,true
23302284S,2014,2284 ABBEYWOOD RD,06-05-2014,Housing,Closed Out,07-28-2014,true
14820107S,2014,107 PENMOKEN PARK,06-05-2014,Housing,Closed Out,08-06-2014,true
17383291S2,2014,3291 SNAFFLE RD,06-05-2014,Housing,Closed Out,08-14-2014,true
05941124S,2014,1124 DUNBARTON LN,06-05-2014,Housing,Closed Out,08-14-2014,true
20542125#2-4,2014,2125 WILL FANT DR,06-05-2014,Housing,Closed Out,07-21-2014,true
18472107-3,2014,2107 TAMARACK DR,06-05-2014,Housing,Closed Out,06-25-2014,true
22660748,2014,748 GATEHOUSE PL,06-06-2014,Housing,Closed Out,08-12-2014,true
12000604,2014,604 LONGVIEW DR,06-06-2014,Housing,Closed Out,07-28-2014,true
06792066#4-2,2014,2066 FAIRMONT CT #4,06-09-2014,Housing,Closed Out,07-25-2014,true
05941128S,2014,1128 DUNBARTON LN,06-09-2014,Housing,Closed Out,06-09-2014,true
02500516EMER,2014,516 N BROADWAY,06-09-2014,Housing,Closed Out,07-08-2014,true
17010411BRDUP,2014,411 SHAWNEE AVE,06-09-2014,Housing,Closed Out,07-08-2014,true
43490432,2014,432 CUNNINGHAM LN,06-09-2014,Housing,Closed Out,07-24-2014,true
10100444BRDUP-2,2014,444 JEFFERSON ST,06-09-2014,Housing,Closed Out,08-12-2014,true
15430471#109,2014,471 PRICE RD #109,06-09-2014,Housing,Closed Out,07-25-2014,true
34472844BRDUP,2014,2844 HANNA PL,06-09-2014,Housing,Closed Out,06-19-2014,true
14760445BRDUP-2,2014,445 PEACHTREE RD,06-09-2014,Housing,Closed Out,06-25-2014,true
07180505,2014,505 FOLKSTONE DR,06-10-2014,Housing,Closed Out,06-16-2014,true
08443514,2014,3514 GREENTREE RD,06-10-2014,Housing,Closed Out,07-25-2014,true
12300135-145EMER312B,2014,135-145 MALABU DR #312B,06-10-2014,Housing,Closed Out,07-07-2014,true
02500734,2014,734 N BROADWAY (BOARD UP),06-10-2014,Housing,Closed Out,07-08-2014,true
02500568#27-4,2014,568 N BROADWAY #27,06-10-2014,Housing,Closed Out,07-21-2014,true
34472846BRDUP,2014,2846 HANNA PL,06-10-2014,Housing,Closed Out,06-19-2014,true
34472846-2,2014,2846 HANNA PL,06-10-2014,Housing,Closed Out,06-19-2014,true
25520213#A,2014,213 CREEKSIDE CT #A,06-10-2014,Housing,Closed Out,08-04-2014,true
04103689,2014,3689 CLAREDON DR,06-10-2014,Housing,Closed Out,07-28-2014,true
19890341BRDUP,2014,341 N MARTIN LUTHER KING BLVD,06-11-2014,Housing,Closed Out,07-02-2014,true
13840228-3,2014,228 E NEW CIRCLE RD,06-11-2014,Housing,Closed Out,08-01-2014,true
22172041#200,2014,2041 CREATIVE DR STE 200,06-11-2014,Housing,Closed Out,07-21-2014,true
15120720,2014,720 PINE ST,06-11-2014,Housing,Closed Out,07-23-2014,true
14053962EMER-2,2014,3962 NORTHAMPTON DR,06-12-2014,Housing,Closed Out,07-03-2014,true
11660700BRDUP,2014,700 N LIMESTONE,06-12-2014,Housing,Closed Out,06-27-2014,true
04931040#44-2,2014,1040 CROSS KEYS RD #44,06-12-2014,Housing,Closed Out,07-25-2014,true
03641205EMER#1,2014,1205 CENTRE PKWY #1,06-13-2014,Housing,Closed Out,07-23-2014,true
12140860S,2014,860 LYNN RD,06-13-2014,Housing,Closed Out,08-06-2014,true
12140898S,2014,898 LYNN RD,06-13-2014,Housing,Closed Out,08-08-2014,true
12140845S,2014,845 LYNN RD,06-13-2014,Housing,Closed Out,08-15-2014,true
03900704S,2014,704 CHERYL LN,06-13-2014,Housing,Closed Out,08-15-2014,true
12140849S,2014,849 LYNN RD,06-13-2014,Housing,Closed Out,08-15-2014,true
12140852S,2014,852 LYNN RD,06-13-2014,Housing,Closed Out,08-15-2014,true
00160146-6,2014,146 ALABAMA AVE,06-13-2014,Housing,Closed Out,07-30-2014,true
29251136S,2014,1136 IRON LACE CT,06-16-2014,Housing,Closed Out,08-01-2014,true
29251125S,2014,1125 IRON LACE CT,06-16-2014,Housing,Closed Out,06-18-2014,true
18323514-2,2014,3514 SUTHERLAND DR,06-17-2014,Housing,Closed Out,07-22-2014,true
19602323-2,2014,2323 VERSAILLES RD,06-17-2014,Housing,Closed Out,07-25-2014,true
18323512-2,2014,3512 SUTHERLAND DR,06-17-2014,Housing,Closed Out,07-30-2014,true
13092916S,2014,2916 MIDDLESEX CT,06-18-2014,Housing,Closed Out,07-15-2014,true
11180498S,2014,498 LAMONT DR,06-18-2014,Housing,Closed Out,07-18-2014,true
13092908S,2014,2908 MIDDLESEX CT,06-18-2014,Housing,Closed Out,07-24-2014,true
16920589S,2014,589 SEVERN WAY,06-18-2014,Housing,Closed Out,08-12-2014,true
21130464-466,2014,464-466 WOODVIEW DR,06-18-2014,Housing,Closed Out,07-30-2014,true
00160146BRDUP-2,2014,146 ALABAMA AVE,06-19-2014,Housing,Closed Out,07-24-2014,true
06080234-3,2014,234 EASTERN AVE,06-19-2014,Housing,Closed Out,07-30-2014,true
14200546-7,2014,546 OHIO ST,06-19-2014,Housing,Closed Out,08-01-2014,true
07030554-2,2014,554 W FIFTH ST,06-19-2014,Housing,Closed Out,08-04-2014,true
04580430-2,2014,430 CONLEY ST,06-19-2014,Housing,Closed Out,08-12-2014,true
00681252-4,2014,1252 ASCOT PARK,06-19-2014,Housing,Closed Out,08-11-2014,true
05672216#39,2014,2216 DINSMORE DR #39,06-23-2014,Housing,Closed Out,06-25-2014,true
14200546EMER-2,2014,546 OHIO ST,06-23-2014,Housing,Closed Out,07-24-2014,true
05100739EXT-2,2014,739 DAKOTA ST (EXTERIOR),06-23-2014,Housing,Closed Out,08-12-2014,true
05100739#2-6,2014,739 DAKOTA ST #2,06-23-2014,Housing,Closed Out,08-12-2014,true
07840917#117-3,2014,917 GEORGETOWN ST#117,06-23-2014,Housing,Closed Out,08-15-2014,true
26723500-3,2014,3500 BEAVER PLACE RD,06-23-2014,Housing,Closed Out,08-11-2014,true
26864300S,2014,4300 PENSHURST SQ,06-24-2014,Housing,Closed Out,08-07-2014,true
21340115#1104A,2014,115 ZANDALE DR #1004A,06-24-2014,Housing,Closed Out,08-13-2014,true
21340115#1105,2014,115 ZANDALE DR#1105,06-24-2014,Housing,Closed Out,08-13-2014,true
32993901,2014,3901 AIRPORT RD,06-24-2014,Housing,Closed Out,07-30-2014,true
00100700,2014,700 ADDISON AVE,06-25-2014,Housing,Closed Out,08-18-2014,true
13092917S,2014,2917 MIDDLESEX CT,06-26-2014,Housing,Closed Out,07-15-2014,true
23942363S,2014,2363 HARRODS POINTE TRCE,06-26-2014,Housing,Closed Out,07-28-2014,true
04890593S,2014,593 CROMWELL WAY,06-26-2014,Housing,Closed Out,06-26-2014,true
12951405-2,2014,1405 MENIFEE AVE,06-26-2014,Housing,Closed Out,08-18-2014,true
05341926-2,2014,1926 DEAUVILLE DR,06-27-2014,Housing,Closed Out,08-05-2014,true
21340115EMER#1004A,2014,115 ZANDALE DR #1004A,06-30-2014,Housing,Closed Out,07-21-2014,true
21340115EMER#1105,2014,115 ZANDALE DR #1105,06-30-2014,Housing,Closed Out,07-21-2014,true
16900408-3,2014,408 E SEVENTH ST,06-30-2014,Housing,Closed Out,07-23-2014,true
11180579S2,2014,579 LAMONT DR,07-01-2014,Housing,Closed Out,07-01-2014,true
18323493,2014,3493 SUTHERLAND DR,07-03-2014,Housing,Closed Out,08-14-2014,true
03641174-1176S,2014,1174-1176 CENTRE PKWY,07-03-2014,Housing,Closed Out,08-06-2014,true
03641102S,2014,1102 CENTRE PKWY,07-03-2014,Housing,Closed Out,08-07-2014,true
14353500-3502S,2014,3500-3502 OLYMPIA RD,07-03-2014,Housing,Closed Out,08-15-2014,true
17290181-183EMER,2014,181-183 SIOUX RD,07-03-2014,Housing,Closed Out,07-21-2014,true
03073745#76-2,2014,3745 CAMELOT DR#76,07-03-2014,Housing,Closed Out,08-13-2014,true
14053962-4,2014,3962 NORTHAMPTON DR,07-03-2014,Housing,Closed Out,08-14-2014,true
03073745EMER#76,2014,3745 CAMELOT DR #76,07-07-2014,Housing,Closed Out,07-21-2014,true
14522845#6D,2014,2845 PALUMBO DR #6D,07-08-2014,Housing,Closed Out,08-12-2014,true
32002640-3,2014,2640 WILHITE CT,07-08-2014,Housing,Closed Out,07-29-2014,true
07770676,2014,676 GAY PL,07-09-2014,Housing,Closed Out,08-18-2014,true
07770668-2,2014,668 GAY PL,07-09-2014,Housing,Closed Out,08-18-2014,true
07770672,2014,672 GAY PL,07-09-2014,Housing,Closed Out,08-18-2014,true
07770674-2,2014,674 GAY PL,07-09-2014,Housing,Closed Out,08-18-2014,true
07770680,2014,680 GAY PL,07-09-2014,Housing,Closed Out,08-18-2014,true
07770682,2014,682 GAY PL,07-09-2014,Housing,Closed Out,08-18-2014,true
07770690,2014,690 GAY PL,07-09-2014,Housing,Closed Out,08-18-2014,true
07770655,2014,655 GAY PL,07-09-2014,Housing,Closed Out,08-18-2014,true
07770677,2014,677 GAY PL,07-09-2014,Housing,Closed Out,08-18-2014,true
07770689,2014,689 GAY PL,07-09-2014,Housing,Closed Out,08-18-2014,true
07770692,2014,692 GAY PL,07-09-2014,Housing,Closed Out,08-18-2014,true
04062214S,2014,2214 CIRCLE DR,07-14-2014,Housing,Closed Out,08-07-2014,true
02171275S2,2014,1275 BORDEAUX DR,07-14-2014,Housing,Closed Out,08-07-2014,true
14820141S,2014,141 PENMOKEN PARK,07-14-2014,Housing,Closed Out,07-14-2014,true
02840102EMER,2014,102 BURLEY AVE,07-17-2014,Housing,Closed Out,07-29-2014,true
03343272S2,2014,3272 CARRIAGE LN,07-21-2014,Housing,Closed Out,08-15-2014,true
15033501#4-2,2014,3501 PIMLICO PKWY #4,07-22-2014,Housing,Closed Out,08-05-2014,true
03641205EMER#11,2014,1205 CENTRE PKWY #11,08-04-2014,Housing,Closed Out,08-13-2014,true
13323221EMER,2014,3221 MONIDA CT,08-04-2014,Housing,Closed Out,08-14-2014,true
19840327EMER,2014,327 WALLER AVE,08-12-2014,Housing,Closed Out,08-15-2014,true
05470105EMER,2014,105 DELMONT DR,08-14-2014,Housing,Closed Out,08-15-2014,true
17170135S,2014,135 W SHORT ST,01-15-2014,Housing,Notice/Order Issued,01-16-2014,false
15420727,2014,727 PRICE AVE,01-23-2014,Housing,Notice/Order Issued,01-27-2014,false
18790337#3371/2EMER,2014,337 E THIRD ST #337 1/2,01-27-2014,Housing,Notice/Order Issued,01-27-2014,false
12260400S,2014,400 E MAIN ST,02-18-2014,Housing,Notice/Order Issued,02-18-2014,false
13650308S,2014,308 MULBERRY DR,02-20-2014,Housing,Notice/Order Issued,02-20-2014,false
13650312S,2014,312 MULBERRY DR,02-20-2014,Housing,Notice/Order Issued,02-20-2014,false
13650313S,2014,313 MULBERRY DR,02-20-2014,Housing,Notice/Order Issued,02-20-2014,false
20910107-5,2014,107 WITHERS AVE,03-05-2014,Housing,Notice/Order Issued,03-07-2014,false
04780923S,2014,923 CRAMER AVE,04-18-2014,Housing,Notice/Order Issued,04-21-2014,false
04780921S,2014,921 CRAMER AVE,04-18-2014,Housing,Notice/Order Issued,04-21-2014,false
05270641S,2014,641 DARTMOOR DR,04-22-2014,Housing,Notice/Order Issued,04-24-2014,false
10100246-254S,2014,246-254 JEFFERSON ST,04-22-2014,Housing,Notice/Order Issued,04-24-2014,false
19440629S,2014,629 N UPPER ST,04-22-2014,Housing,Notice/Order Issued,04-24-2014,false
19440646S,2014,646 N UPPER ST,04-22-2014,Housing,Notice/Order Issued,04-24-2014,false
16840535S2,2014,535 W SECOND ST,04-22-2014,Housing,Notice/Order Issued,04-24-2014,false
12040265S,2014,265 E LOUDON AVE,04-29-2014,Housing,Notice/Order Issued,04-30-2014,false
16900522S,2014,522 E SEVENTH ST,05-06-2014,Housing,Notice/Order Issued,05-07-2014,false
02500555S2,2014,555 N BROADWAY,05-06-2014,Housing,Notice/Order Issued,05-07-2014,false
06470185S2,2014,185 ELM TREE LN,05-06-2014,Housing,Notice/Order Issued,05-09-2014,false
17700180S3,2014,180 SPRUCE ST,05-06-2014,Housing,Notice/Order Issued,05-09-2014,false
20680800-816S,2014,800-816 WINCHESTER RD,05-07-2014,Housing,Notice/Order Issued,05-09-2014,false
10100542S,2014,542 JEFFERSON ST,05-07-2014,Housing,Notice/Order Issued,05-09-2014,false
10100514S,2014,514 JEFFERSON ST,05-07-2014,Housing,Notice/Order Issued,05-09-2014,false
10100522S,2014,522 JEFFERSON ST,05-07-2014,Housing,Notice/Order Issued,05-09-2014,false
06470660S,2014,660 ELM TREE LN,05-08-2014,Housing,Notice/Order Issued,05-13-2014,false
08140516S,2014,516 GOODLOE ST,05-08-2014,Housing,Notice/Order Issued,05-13-2014,false
00700188S,2014,188 N ASHLAND AVE,05-08-2014,Housing,Notice/Order Issued,05-13-2014,false
02120520-528S,2014,520-528 BOOKER ST,05-08-2014,Housing,Notice/Order Issued,05-13-2014,false
06470662S,2014,662 ELM TREE LN,05-08-2014,Housing,Notice/Order Issued,05-13-2014,false
02500301S2,2014,301 N BROADWAY,05-16-2014,Housing,Notice/Order Issued,05-20-2014,false
16900764S,2014,764 E SEVENTH ST,05-16-2014,Housing,Notice/Order Issued,05-20-2014,false
16900446S,2014,446 E SEVENTH ST,05-20-2014,Housing,Notice/Order Issued,05-20-2014,false
11700245S,2014,245 LINCOLN AVE,05-20-2014,Housing,Notice/Order Issued,05-20-2014,false
08750107S,2014,107 N HANOVER AVE,05-20-2014,Housing,Notice/Order Issued,05-20-2014,false
08750113S,2014,113 N HANOVER AVE,05-20-2014,Housing,Notice/Order Issued,05-20-2014,false
16000021S,2014,21 RICHMOND AVE,05-20-2014,Housing,Notice/Order Issued,05-20-2014,false
05111324S,2014,1324 DALE DR,05-20-2014,Housing,Notice/Order Issued,05-22-2014,false
05111369S,2014,1369 DALE DR,05-20-2014,Housing,Notice/Order Issued,07-02-2014,false
00430608S2,2014,608 ANNISTON DR,05-27-2014,Housing,Notice/Order Issued,05-28-2014,false
28360852S,2014,852 EAGLES LN,05-27-2014,Housing,Notice/Order Issued,05-28-2014,false
28360844S,2014,844 EAGLES LN,05-27-2014,Housing,Notice/Order Issued,05-28-2014,false
28360804S,2014,804 EAGLES LN,05-27-2014,Housing,Notice/Order Issued,05-28-2014,false
16280464S2,2014,464 ROOKWOOD PKWY,05-27-2014,Housing,Notice/Order Issued,05-28-2014,false
32210815S2,2014,815 NEWTOWN PIKE,05-27-2014,Housing,Notice/Order Issued,05-28-2014,false
12260641S2,2014,641 E MAIN ST,05-28-2014,Housing,Notice/Order Issued,05-29-2014,false
02500154S,2014,154 N BROADWAY,05-28-2014,Housing,Notice/Order Issued,05-29-2014,false
18790545-4,2014,545 E THIRD ST,05-29-2014,Housing,Notice/Order Issued,06-10-2014,false
04850532S,2014,532 CRICKLEWOOD DR,06-04-2014,Housing,Notice/Order Issued,06-09-2014,false
04850541S,2014,541 CRICKLEWOOD DR,06-04-2014,Housing,Notice/Order Issued,06-09-2014,false
04850528S,2014,528 CRICKLEWOOD DR,06-04-2014,Housing,Notice/Order Issued,06-09-2014,false
03721877S,2014,1877 CHARLBURY CT,06-05-2014,Housing,Notice/Order Issued,06-11-2014,false
03730643S,2014,643 CHARLBURY RD,06-05-2014,Housing,Notice/Order Issued,06-11-2014,false
03730647S,2014,647 CHARLBURY RD,06-05-2014,Housing,Notice/Order Issued,06-11-2014,false
01221816,2014,1816 BARKSDALE DR,06-06-2014,Housing,Notice/Order Issued,07-30-2014,false
07980252S2,2014,252 GLENDALE AVE,06-09-2014,Housing,Notice/Order Issued,06-09-2014,false
34760660S,2014,660 DANBY WOODS DR,06-10-2014,Housing,Notice/Order Issued,06-11-2014,false
14701029S,2014,1029 PATRICIA LN,06-10-2014,Housing,Notice/Order Issued,06-11-2014,false
14701013S,2014,1013 PATRICIA LN,06-10-2014,Housing,Notice/Order Issued,06-11-2014,false
29783644S,2014,3644 FAIR RIDGE DR,06-10-2014,Housing,Notice/Order Issued,06-11-2014,false
34760624S,2014,624 DANBY WOODS DR,06-11-2014,Housing,Notice/Order Issued,06-11-2014,false
16113608S2,2014,3608 RIVER PARK DR,06-11-2014,Housing,Notice/Order Issued,06-19-2014,false
35951925S,2014,1925 JUSTICE DR,06-12-2014,Housing,Notice/Order Issued,06-18-2014,false
35951916S,2014,1916 JUSTICE DR,06-12-2014,Housing,Notice/Order Issued,06-18-2014,false
02500345S2,2014,345 N BROADWAY,06-13-2014,Housing,Notice/Order Issued,06-19-2014,false
32210429S,2014,429 NEWTOWN PIKE,06-13-2014,Housing,Notice/Order Issued,06-19-2014,false
02500331S2,2014,331 N BROADWAY,06-13-2014,Housing,Notice/Order Issued,06-19-2014,false
02500305S2,2014,305 N BROADWAY,06-13-2014,Housing,Notice/Order Issued,06-19-2014,false
12140864S2,2014,864 LYNN RD,06-13-2014,Housing,Notice/Order Issued,06-18-2014,false
12140720S,2014,720 LYNN RD,06-13-2014,Housing,Notice/Order Issued,06-18-2014,false
03900741S,2014,741 CHERYL LN,06-13-2014,Housing,Notice/Order Issued,06-18-2014,false
09290230-2,2014,230 E HIGH ST,06-17-2014,Housing,Notice/Order Issued,06-25-2014,false
20220435S,2014,435 WESTERFIELD WAY,06-18-2014,Housing,Notice/Order Issued,06-18-2014,false
17502712S,2014,2712 SOUTHVIEW DR,06-18-2014,Housing,Notice/Order Issued,06-18-2014,false
1692505QS,2014,505 SEVERN WAY,06-18-2014,Housing,Notice/Order Issued,06-18-2014,false
14660460S,2014,460 PASADENA DR,06-18-2014,Housing,Notice/Order Issued,06-18-2014,false
16502929S,2014,2929 RUNNYMEDE WAY,06-18-2014,Housing,Notice/Order Issued,06-18-2014,false
16920497S,2014,497 SEVERN WAY,06-18-2014,Housing,Notice/Order Issued,06-18-2014,false
16920501S,2014,501 SEVERN WAY,06-18-2014,Housing,Notice/Order Issued,06-18-2014,false
16920549S,2014,549 SEVERN WAY,06-18-2014,Housing,Notice/Order Issued,06-18-2014,false
17502700S,2014,2700 SOUTHVIEW DR,06-18-2014,Housing,Notice/Order Issued,06-18-2014,false
20220402S,2014,402 WESTERFIELD WAY,06-18-2014,Housing,Notice/Order Issued,06-18-2014,false
