CaseNo,CaseYr,Address,DateOpened,CaseType,Status,StatusDate,Closed,parcel_id,lat,long
14701036S2,2014,1036 PATRICIA LN,05-01-2014,Housing,Notice/Order Issued,05-06-2014,false,46551750,-84.5092629783982,38.0900968987278
20780287S,2014,287 WINN WAY,05-01-2014,Housing,Notice/Order Issued,07-14-2014,false,27009550,-84.5095815867055,38.0044365837072
23752405S,2014,2405 CREEKVIEW CT,05-01-2014,Housing,Notice/Order Issued,07-14-2014,false,20049850,-84.5858486852543,37.9861588569419
10111740-1748S,2014,1740-1748 JENNIFER RD,05-02-2014,Housing,Notice/Order Issued,05-06-2014,false,17179650,-84.4494528360264,38.0440169832071
16900522S,2014,522 E SEVENTH ST,05-06-2014,Housing,Notice/Order Issued,05-07-2014,false,20856050,-84.477183025672,38.0490116887107
02500555S2,2014,555 N BROADWAY,05-06-2014,Housing,Notice/Order Issued,05-07-2014,false,12288100,-84.4899008461495,38.0564183684022
06470185S2,2014,185 ELM TREE LN,05-06-2014,Housing,Notice/Order Issued,05-09-2014,false,17271200,-84.4908531383299,38.0454537867751
17700180S3,2014,180 SPRUCE ST,05-06-2014,Housing,Notice/Order Issued,05-09-2014,false,10847605,-84.4912822707838,38.0455012906028
20680800-816S,2014,800-816 WINCHESTER RD,05-07-2014,Housing,Notice/Order Issued,05-09-2014,false,11419000,-84.4734888702537,38.0411106258238
10100542S,2014,542 JEFFERSON ST,05-07-2014,Housing,Notice/Order Issued,05-09-2014,false,12560200,-84.4931534306439,38.0586117687504
10100514S,2014,514 JEFFERSON ST,05-07-2014,Housing,Notice/Order Issued,05-09-2014,false,16251300,-84.4938644737733,38.0581066650081
10100522S,2014,522 JEFFERSON ST,05-07-2014,Housing,Notice/Order Issued,05-09-2014,false,11430700,-84.4936798878805,38.0582392502888
06470660S,2014,660 ELM TREE LN,05-08-2014,Housing,Notice/Order Issued,05-13-2014,false,10242100,-84.4810481212893,38.0517304902721
08140516S,2014,516 GOODLOE ST,05-08-2014,Housing,Notice/Order Issued,05-13-2014,false,04011100,-84.4866599078865,38.0431263162608
00700188S,2014,188 N ASHLAND AVE,05-08-2014,Housing,Notice/Order Issued,05-13-2014,false,15187600,-84.4803734260975,38.0373637198054
02120520-528S,2014,520-528 BOOKER ST,05-08-2014,Housing,Notice/Order Issued,05-13-2014,false,15509400,-84.5009469721802,38.061771330834
06470662S,2014,662 ELM TREE LN,05-08-2014,Housing,Notice/Order Issued,05-13-2014,false,14346850,-84.4809514995187,38.051803093053
02500301S2,2014,301 N BROADWAY,05-16-2014,Housing,Notice/Order Issued,05-20-2014,false,16670900,-84.4955019331134,38.0523536387068
16900764S,2014,764 E SEVENTH ST,05-16-2014,Housing,Notice/Order Issued,05-20-2014,false,14957300,-84.4716753828313,38.0449046033922
16900446S,2014,446 E SEVENTH ST,05-20-2014,Housing,Notice/Order Issued,05-20-2014,false,13939300,-84.4778385522004,38.0496357834944
11700245S,2014,245 LINCOLN AVE,05-20-2014,Housing,Notice/Order Issued,05-20-2014,false,47192200,-84.475335654467,38.0344397304265
08750107S,2014,107 N HANOVER AVE,05-20-2014,Housing,Notice/Order Issued,05-20-2014,false,10000400,-84.4831402450262,38.0346648412745
08750113S,2014,113 N HANOVER AVE,05-20-2014,Housing,Notice/Order Issued,05-20-2014,false,10000370,-84.4829070133744,38.03481448561
16000021S,2014,21 RICHMOND AVE,05-20-2014,Housing,Notice/Order Issued,05-20-2014,false,43648400,-84.4800475514634,38.0342134739209
12960055S,2014,55 MENTELLE PARK,05-20-2014,Housing,Notice/Order Issued,05-20-2014,false,13809375,-84.4786228854548,38.0364875247986
05111324S,2014,1324 DALE DR,05-20-2014,Housing,Notice/Order Issued,05-22-2014,false,11367235,-84.4841753484944,37.972157615956
05111369S,2014,1369 DALE DR,05-20-2014,Housing,Notice/Order Issued,07-02-2014,false,10967395,-84.4819973682612,37.9712165466674
00430608S2,2014,608 ANNISTON DR,05-27-2014,Housing,Notice/Order Issued,05-28-2014,false,13124250,-84.4409391771049,38.0615312869569
28360852S,2014,852 EAGLES LN,05-27-2014,Housing,Notice/Order Issued,05-28-2014,false,19303840,-84.4043205045359,37.9937797577311
28360844S,2014,844 EAGLES LN,05-27-2014,Housing,Notice/Order Issued,05-28-2014,false,19303800,-84.4040615981059,37.9941424877757
28360804S,2014,804 EAGLES LN,05-27-2014,Housing,Notice/Order Issued,05-28-2014,false,19303700,-84.4043148780063,37.9943115076676
16280464S2,2014,464 ROOKWOOD PKWY,05-27-2014,Housing,Notice/Order Issued,05-28-2014,false,10108350,-84.4583901239748,38.0584344752598
32210815S2,2014,815 NEWTOWN PIKE,05-27-2014,Housing,Notice/Order Issued,05-28-2014,false,15113425,-84.4988891423014,38.0711395065457
12260641S2,2014,641 E MAIN ST,05-28-2014,Housing,Notice/Order Issued,05-29-2014,false,11405500,-84.4859059128162,38.0370317157888
02500154S,2014,154 N BROADWAY,05-28-2014,Housing,Notice/Order Issued,05-29-2014,false,04021390,-84.498050644756,38.049851583259
18790545-4,2014,545 E THIRD ST,05-29-2014,Housing,Notice/Order Issued,06-10-2014,false,12179400,-84.4833961629302,38.0436282704703
04850532S,2014,532 CRICKLEWOOD DR,06-04-2014,Housing,Notice/Order Issued,06-09-2014,false,11347500,-84.4548549841937,38.0572471617251
04850541S,2014,541 CRICKLEWOOD DR,06-04-2014,Housing,Notice/Order Issued,06-09-2014,false,13926350,-84.4540293767655,38.0574752383581
04850528S,2014,528 CRICKLEWOOD DR,06-04-2014,Housing,Notice/Order Issued,06-09-2014,false,14628300,-84.4550561347063,38.0572890589573
03721877S,2014,1877 CHARLBURY CT,06-05-2014,Housing,Notice/Order Issued,06-11-2014,false,14557900,-84.46564580464,38.0829977571082
03730643S,2014,643 CHARLBURY RD,06-05-2014,Housing,Notice/Order Issued,06-11-2014,false,10361300,-84.4667078745975,38.0834930657181
03730647S,2014,647 CHARLBURY RD,06-05-2014,Housing,Notice/Order Issued,06-11-2014,false,16232775,-84.4669070953924,38.083557641407
17383291S2,2014,3291 SNAFFLE RD,06-05-2014,Housing,Notice/Order Issued,06-09-2014,false,19334680,-84.5593717972192,38.0131546197309
17000681S2,2014,681 SHASTA CIR,06-05-2014,Housing,Notice/Order Issued,06-09-2014,false,25014400,-84.5622950199569,37.9906984542133
05941124S,2014,1124 DUNBARTON LN,06-05-2014,Housing,Notice/Order Issued,06-09-2014,false,10001120,-84.4807537809385,37.9946267610488
05941132S,2014,1132 DUNBARTON LN,06-05-2014,Housing,Notice/Order Issued,06-09-2014,false,24716444,-84.4807199234251,37.9942712255944
14820103S,2014,103 PENMOKEN PARK,06-05-2014,Housing,Notice/Order Issued,06-09-2014,false,24538100,-84.5157320793966,38.0165406855201
14820108S,2014,108 PENMOKEN PARK,06-05-2014,Housing,Notice/Order Issued,06-09-2014,false,22584500,-84.5164676193927,38.0161859480431
31433459S,2014,3459 SPENDTHRIFT WAY,06-05-2014,Housing,Notice/Order Issued,06-09-2014,false,15465750,-84.485901240959,37.9892037898489
14820104S,2014,104 PENMOKEN PARK,06-05-2014,Housing,Notice/Order Issued,06-09-2014,false,25359300,-84.5161378477676,38.0160843184566
01991762S2,2014,1762 BLUE LICKS RD,06-06-2014,Housing,Notice/Order Issued,06-09-2014,false,21500950,-84.5433581784094,38.0385187939269
21332417S,2014,2417 YUMA CT,06-06-2014,Housing,Notice/Order Issued,06-09-2014,false,27007750,-84.5403144079625,38.0145494172217
01221816,2014,1816 BARKSDALE DR,06-06-2014,Housing,Notice/Order Issued,07-30-2014,false,10037650,-84.4709738893516,38.0865366520302
07980252S2,2014,252 GLENDALE AVE,06-09-2014,Housing,Notice/Order Issued,06-09-2014,false,46833800,-84.5254500833305,38.0707859867051
17000685S2,2014,685 SHASTA CIR,06-09-2014,Housing,Notice/Order Issued,06-09-2014,false,20365350,-84.5625611074891,37.9908277015147
05941128S,2014,1128 DUNBARTON LN,06-09-2014,Housing,Notice/Order Issued,06-09-2014,false,24716443,-84.4807686891652,37.9944955180935
34760660S,2014,660 DANBY WOODS DR,06-10-2014,Housing,Notice/Order Issued,06-11-2014,false,38007540,-84.4408233927636,38.019822219779
14701029S,2014,1029 PATRICIA LN,06-10-2014,Housing,Notice/Order Issued,06-11-2014,false,40141500,-84.5106605342423,38.0907761599185
14701013S,2014,1013 PATRICIA LN,06-10-2014,Housing,Notice/Order Issued,06-11-2014,false,45443400,-84.5110022630631,38.0901604820044
29783644S,2014,3644 FAIR RIDGE DR,06-10-2014,Housing,Notice/Order Issued,06-11-2014,false,19328230,-84.4338435651648,37.9924424365402
34760624S,2014,624 DANBY WOODS DR,06-11-2014,Housing,Notice/Order Issued,06-11-2014,false,38007360,-84.4418052321077,38.0191943622314
16113608S2,2014,3608 RIVER PARK DR,06-11-2014,Housing,Notice/Order Issued,06-19-2014,false,15129700,-84.47795544079,37.9740465364476
35951925S,2014,1925 JUSTICE DR,06-12-2014,Housing,Notice/Order Issued,06-18-2014,false,38039840,-84.4131637051405,38.0173042356494
35951916S,2014,1916 JUSTICE DR,06-12-2014,Housing,Notice/Order Issued,06-18-2014,false,38039830,-84.4122585570708,38.0171782371824
02500345S2,2014,345 N BROADWAY,06-13-2014,Housing,Notice/Order Issued,06-19-2014,false,04024370,-84.4949242307679,38.0538212539505
32210429S,2014,429 NEWTOWN PIKE,06-13-2014,Housing,Notice/Order Issued,06-19-2014,false,15504900,-84.5009490664338,38.0614161411164
02500331S2,2014,331 N BROADWAY,06-13-2014,Housing,Notice/Order Issued,06-19-2014,false,14273600,-84.4948550488562,38.053009005864
02500305S2,2014,305 N BROADWAY,06-13-2014,Housing,Notice/Order Issued,06-19-2014,false,16022700,-84.4954019453249,38.0524207580486
03900737S,2014,737 CHERYL LN,06-13-2014,Housing,Notice/Order Issued,06-16-2014,false,20886250,-84.5327397487969,38.0307400405757
03900708S,2014,708 CHERYL LN,06-13-2014,Housing,Notice/Order Issued,06-16-2014,false,21905100,-84.5318889426757,38.0294433798192
03900704S,2014,704 CHERYL LN,06-13-2014,Housing,Notice/Order Issued,06-16-2014,false,23439000,-84.5317265109763,38.0293388523335
12140849S,2014,849 LYNN RD,06-13-2014,Housing,Notice/Order Issued,06-16-2014,false,26140700,-84.5374335227333,38.0323893312996
12140725S,2014,725 LYNN RD,06-13-2014,Housing,Notice/Order Issued,06-16-2014,false,27190000,-84.5327442169086,38.0294730852957
12140853S,2014,853 LYNN RD,06-13-2014,Housing,Notice/Order Issued,06-16-2014,false,23567700,-84.5375982190888,38.0324903640323
12140864S2,2014,864 LYNN RD,06-13-2014,Housing,Notice/Order Issued,06-18-2014,false,26337500,-84.5385140020416,38.032363303064
12140720S,2014,720 LYNN RD,06-13-2014,Housing,Notice/Order Issued,06-18-2014,false,26919000,-84.5332055669739,38.02903604747
12140845S,2014,845 LYNN RD,06-13-2014,Housing,Notice/Order Issued,06-18-2014,false,24139350,-84.5372701580154,38.0322892910306
03900741S,2014,741 CHERYL LN,06-13-2014,Housing,Notice/Order Issued,06-18-2014,false,22782100,-84.5329148727097,38.0308540007968
12140852S,2014,852 LYNN RD,06-13-2014,Housing,Notice/Order Issued,06-16-2014,false,24113300,-84.5380244924042,38.0320649244871
12140708S,2014,708 LYNN RD,06-16-2014,Housing,Notice/Order Issued,06-16-2014,false,23436850,-84.5327106042635,38.0287007783853
09290230-2,2014,230 E HIGH ST,06-17-2014,Housing,Notice/Order Issued,06-25-2014,false,11493100,-84.4958575482184,38.0421695960187
20220435S,2014,435 WESTERFIELD WAY,06-18-2014,Housing,Notice/Order Issued,06-18-2014,false,11248000,-84.5326502595804,38.0048093440962
17502712S,2014,2712 SOUTHVIEW DR,06-18-2014,Housing,Notice/Order Issued,06-18-2014,false,21254500,-84.5352369123231,38.0095930842244
1692505QS,2014,505 SEVERN WAY,06-18-2014,Housing,Notice/Order Issued,06-18-2014,false,15668762,-84.5301259563443,38.0063264707647
14660460S,2014,460 PASADENA DR,06-18-2014,Housing,Notice/Order Issued,06-18-2014,false,24048600,-84.5331111465624,38.0088479619614
16502929S,2014,2929 RUNNYMEDE WAY,06-18-2014,Housing,Notice/Order Issued,06-18-2014,false,15586488,-84.5356218590851,38.0031648350004
16920497S,2014,497 SEVERN WAY,06-18-2014,Housing,Notice/Order Issued,06-18-2014,false,10653390,-84.5295932860757,38.0061612183202
16920501S,2014,501 SEVERN WAY,06-18-2014,Housing,Notice/Order Issued,06-18-2014,false,15461700,-84.5298681772664,38.0062371638492
16920549S,2014,549 SEVERN WAY,06-18-2014,Housing,Notice/Order Issued,06-18-2014,false,12529350,-84.5329876883276,38.007366373782
17502700S,2014,2700 SOUTHVIEW DR,06-18-2014,Housing,Notice/Order Issued,06-18-2014,false,25307500,-84.5348917535944,38.0103461133066
20220402S,2014,402 WESTERFIELD WAY,06-18-2014,Housing,Notice/Order Issued,06-18-2014,false,14336500,-84.5300539872512,38.004498709682
15033550S,2014,3550 PIMLICO PKWY,06-18-2014,Housing,Notice/Order Issued,06-19-2014,false,12526500,-84.4713002594969,37.9817426048971
15033501S,2014,3501 PIMLICO PKWY,06-18-2014,Housing,Notice/Order Issued,06-19-2014,false,12526525,-84.4702390611635,37.9830566862277
19840125#B,2014,125 WALLER AVE #B,06-20-2014,Housing,Notice/Order Issued,06-23-2014,false,25397800,-84.5123525469866,38.0287739091604
17170221-239S2,2014,221-239 W SHORT ST,06-23-2014,Housing,Notice/Order Issued,06-23-2014,false,13862150,-84.4970844287117,38.0483001710371
07840917#117-3,2014,917 GEORGETOWN ST#117,06-23-2014,Housing,Notice/Order Issued,08-12-2014,false,26185825,-84.5060482432608,38.0724364592688
16012195,2014,2195 RICHMOND RD,06-23-2014,Housing,Notice/Order Issued,06-23-2014,false,15250806,-84.464767114041,38.0188807222849
26644321S,2014,4321 SOUTHMOOR PARK,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,20098680,-84.5748869083144,37.9855338052721
26644309S,2014,4309 SOUTHMOOR PARK,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,20098650,-84.5748012742854,37.9860783830629
26644301S,2014,4301 SOUTHMOOR PARK,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,20098630,-84.574673120599,37.9864326338867
26644300S,2014,4300 SOUTHMOOR PARK,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,20098750,-84.5741549259751,37.986340711413
26534301S,2014,4301 SHIPTONS END,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,20098760,-84.5737714142258,37.9863156216006
13050568S,2014,568 MERRIMAC DR,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,24731900,-84.5507612633643,37.988915133306
13050563S,2014,563 MERRIMAC DR,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,23053250,-84.5512822841321,37.9882847452974
11280640S,2014,640 LARAMIE DR,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,23547400,-84.5424048478135,38.0194260208878
11280637S,2014,637 LARAMIE DR,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,24451700,-84.5419904668436,38.0199777566239
11280636S,2014,636 LARAMIE DR,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,24984700,-84.5421951181693,38.0193476152083
11280621S,2014,621 LARAMIE DR,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,22288950,-84.5410582877952,38.0196363697215
11280629S,2014,629 LARAMIE DR,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,26194900,-84.5415165534503,38.0197993760717
11280613S,2014,613 LARAMIE DR,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,23070700,-84.5405900357525,38.0194702968647
11280601S,2014,601 LARAMIE DR,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,21810400,-84.5398976437752,38.019222532377
11280605S,2014,605 LARAMIE DR,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,25000350,-84.5401292237865,38.0192993446123
27411361S,2014,1361 GLENVIEW DR,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,20121640,-84.5740527349705,37.9796584190137
27674505S,2014,4505 GLENVIEW CT,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,20121630,-84.5740098970048,37.979999710804
27674501S,2014,4501 GLENVIEW CT,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,20121620,-84.5736090575431,37.9799990216841
26004520S2,2014,4520 CLUBHOUSE DR,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,20109720,-84.5702239522596,37.9814839761841
26004516S,2014,4516 CLUBHOUSE DR,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,20109730,-84.5701370589406,37.9816716556334
26004513,2014,4513 CLUBHOUSE DR,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,20109770,-84.5707157281563,37.9818797544921
31321324S,2014,1324 COPPER RUN BLVD,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,20086790,-84.5700819672696,37.9827315912571
04890540S,2014,540 CROMWELL WAY,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,27210700,-84.5507067910956,37.9860035616204
04890536S,2014,536 CROMWELL WAY,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,22914200,-84.5504428624934,37.9858325025656
27111392S3,2014,1392 CORONA DR,06-24-2014,Housing,Notice/Order Issued,06-24-2014,false,20109490,-84.5701356743055,37.9819043373185
05672208-2224CONDEM,2014,2208-2224 DINSMORE DR,06-25-2014,Housing,Notice/Order Issued,06-26-2014,false,15628800,-84.4669804758815,38.0168943702336
15033455,2014,3455 PIMLICO PKWY,06-25-2014,Housing,Notice/Order Issued,07-01-2014,false,14986579,-84.4748476965624,37.9846806454637
00100700,2014,700 ADDISON AVE,06-25-2014,Housing,Notice/Order Issued,07-03-2014,false,26681800,-84.5272700568621,38.0401415986205
04890529S,2014,529 CROMWELL WAY,06-26-2014,Housing,Notice/Order Issued,06-26-2014,false,24952800,-84.5498371756619,37.9863127695984
04890525S,2014,525 CROMWELL WAY,06-26-2014,Housing,Notice/Order Issued,06-26-2014,false,24052300,-84.5496112603353,37.9861144861488
31312389S,2014,2389 DOGWOOD TRACE BLVD,06-26-2014,Housing,Notice/Order Issued,06-26-2014,false,38040080,-84.5818879126106,37.9868901489501
14820121S,2014,121 PENMOKEN PARK,06-26-2014,Housing,Notice/Order Issued,06-26-2014,false,22041350,-84.5171510400387,38.0170426261845
14830123S,2014,123 PENMOKEN DR,06-26-2014,Housing,Notice/Order Issued,06-26-2014,false,20124600,-84.5173085867601,38.0170885998663
14820125S,2014,125 PENMOKEN PARK,06-26-2014,Housing,Notice/Order Issued,06-26-2014,false,22041300,-84.5174622576185,38.0171484715242
18953405S,2014,3405 TISDALE DR,06-26-2014,Housing,Notice/Order Issued,06-26-2014,false,24145000,-84.5495257893886,37.989481459032
11280632S,2014,632 LARAMIE DR,06-26-2014,Housing,Notice/Order Issued,06-26-2014,false,20039400,-84.5419778527847,38.0192687376538
11280633S,2014,633 LARAMIE DR,06-26-2014,Housing,Notice/Order Issued,06-26-2014,false,20436125,-84.5417481593747,38.0198861991647
11280617S,2014,617 LARAMIE DR,06-26-2014,Housing,Notice/Order Issued,06-26-2014,false,26288550,-84.540820272652,38.0195498988693
11280616S,2014,616 LARAMIE DR,06-26-2014,Housing,Notice/Order Issued,06-26-2014,false,25215901,-84.5410939147716,38.0189454556102
11280609S,2014,609 LARAMIE DR,06-26-2014,Housing,Notice/Order Issued,06-26-2014,false,25981600,-84.540361989262,38.019382069117
18953401S,2014,3401 TISDALE DR,06-26-2014,Housing,Notice/Order Issued,06-26-2014,false,26360300,-84.549310001201,37.9893691181258
14820127S,2014,127 PENMOKEN PARK,06-26-2014,Housing,Notice/Order Issued,06-26-2014,false,20231600,-84.5176230701474,38.0171975077236
04890612S,2014,612 CROMWELL WAY,06-26-2014,Housing,Notice/Order Issued,06-26-2014,false,20422400,-84.55617327927,37.9878129366491
04890549S,2014,549 CROMWELL WAY,06-26-2014,Housing,Notice/Order Issued,06-26-2014,false,22892400,-84.5509850035051,37.9870397269447
12951405-2,2014,1405 MENIFEE AVE,06-26-2014,Housing,Notice/Order Issued,07-08-2014,false,41396000,-84.4724445976259,38.0342828042501
03641101S,2014,1101 CENTRE PKWY,06-30-2014,Housing,Notice/Order Issued,06-30-2014,false,19999490,-84.4845661676531,37.9852974287805
03641123-1143S,2014,1123-1143 CENTRE PKWY,06-30-2014,Housing,Notice/Order Issued,06-30-2014,false,11441651,-84.4843453891402,37.9843732768546
03641102-1104S,2014,1102-1104 CENTRE PKWY,06-30-2014,Housing,Notice/Order Issued,06-30-2014,false,04038900,-84.4853256239905,37.985713867048
03641106S,2014,1106 CENTRE PKWY,06-30-2014,Housing,Notice/Order Issued,06-30-2014,false,16861550,-84.4857536041795,37.9851669222947
03641108S,2014,1108 CENTRE PKWY,06-30-2014,Housing,Notice/Order Issued,06-30-2014,false,13813075,-84.485764142286,37.984959746873
03641110S,2014,1110 CENTRE PKWY,06-30-2014,Housing,Notice/Order Issued,06-30-2014,false,10497600,-84.4856587388221,37.9847539198298
16900170CONDEM-2,2014,170 E SEVENTH ST,07-01-2014,Housing,Notice/Order Issued,07-01-2014,false,14868500,-84.4827469707393,38.0538435456903
09200723#B-2,2014,723 HI CREST DR#B,07-01-2014,Housing,Notice/Order Issued,08-12-2014,false,15301600,-84.444672082815,38.0544891518924
14522845#9H,2014,2845 PALUMBO DR #9H,07-01-2014,Housing,Notice/Order Issued,07-08-2014,false,25521500,-84.4343686894105,38.0058009284737
21030356-3,2014,356 WOODLAND AVE,07-02-2014,Housing,Notice/Order Issued,07-10-2014,false,10025600,-84.4947908612036,38.0349868406844
09631050,2014,1050 HORSEMANS LN,07-02-2014,Housing,Notice/Order Issued,07-03-2014,false,10024260,-84.5250694918246,38.0422427435695
18323493,2014,3493 SUTHERLAND DR,07-03-2014,Housing,Notice/Order Issued,07-09-2014,false,12337100,-84.484203151781,37.9861976729612
16113613S2,2014,3613 RIVER PARK DR,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,14017625,-84.4787680406605,37.9740525980784
00483554S,2014,3554 APPIAN WAY,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,12405950,-84.4827200471979,37.9806964686456
00483560S,2014,3560 APPIAN WAY,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,13198800,-84.4831783315864,37.9805038366426
01471415S,2014,1415 BEAUFORT DR,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,14204550,-84.477504096346,37.9733690003218
02073500-3502S,2014,3500-3502 BOLD BIDDER DR,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,14140900,-84.4746212039784,37.9827121287326
03161300S,2014,1300 CANONERO DR,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,14665902,-84.4758234634716,37.9809695699575
03161301S,2014,1301 CANONERO DR,07-03-2014,Housing,Notice/Order Issued,07-16-2014,false,14665903,-84.4756071209437,37.9812914355852
03641126-1128S,2014,1126-1128 CENTRE PKWY,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,12405952,-84.4851463479006,37.9838866053633
03641138-1140S,2014,1138-1140 CENTRE PKWY,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,13319540,-84.4848077411862,37.9833647805622
03641142-1144S,2014,1142-1144 CENTRE PKWY,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,12944900,-84.484682781268,37.9831729933448
03641162-1164S,2014,1162-1164 CENTRE PKWY,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,12864205,-84.4841061523843,37.9822693996487
03641165-1199S,2014,1165-1199 CENTRE PKWY,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,15575050,-84.4825489160894,37.982205335761
03641170-1172S,2014,1170-1172 CENTRE PKWY,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,12864203,-84.483890786939,37.9819222898371
03641178-1180S,2014,1178-1180 CENTRE PKWY,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,16780000,-84.4836743711061,37.9815755937664
03651100-1104S,2014,1100-1104 CENTURIAN RD,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,16861500,-84.4850335642752,37.9836994442867
09563500-3504S,2014,3500-3504 HONEY JAY CT,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,17289668,-84.4763191416249,37.9803479195466
09563508-3512S,2014,3508-3512 HONEY JAY CT,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,17289666,-84.4761653114013,37.9801561479655
14353500-3502S,2014,3500-3502 OLYMPIA RD,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,16880450,-84.4853671097415,37.9842347081335
14353504S,2014,3504 OLYMPIA RD,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,15566400,-84.485637596126,37.9840288145936
16113616S,2014,3616 RIVER PARK DR,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,16875400,-84.4782758004036,37.9736214642029
03641180-1182S,2014,1180-1182 CENTRE PKWY,07-03-2014,Housing,Notice/Order Issued,07-16-2014,false,16780000,-84.4836743711061,37.9815755937664
03641190-1192S,2014,1190-1192 CENTRE PKWY,07-03-2014,Housing,Notice/Order Issued,07-16-2014,false,15123100,-84.483132670016,37.9810176351655
03641204-1206S,2014,1204-1206 CENTRE PKWY,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,12405951,-84.4824731540678,37.9806057780121
03641205S,2014,1205 CENTRE PKWY,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,04016940,-84.4817385703162,37.9809910246625
03641208-1210S,2014,1208-1210 CENTRE PKWY,07-03-2014,Housing,Notice/Order Issued,07-16-2014,false,16168701,-84.4822812998304,37.9805133542549
03641212-1214S,2014,1212-1214 CENTRE PKWY,07-03-2014,Housing,Notice/Order Issued,07-16-2014,false,16168801,-84.4820740214988,37.9804169441555
03641216-1218S,2014,1216-1218 CENTRE PKWY,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,16168802,-84.4818650866843,37.9803248651043
03641220-1222S,2014,1220-1222 CENTRE PKWY,07-03-2014,Housing,Notice/Order Issued,07-16-2014,false,16779300,-84.48152187834,37.9802596502944
03641224-1226S,2014,1224-1226 CENTRE PKWY,07-03-2014,Housing,Notice/Order Issued,07-16-2014,false,15123152,-84.4811253077745,37.9799355350542
14053962-4,2014,3962 NORTHAMPTON DR,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,20036400,-84.5163709325292,37.9740895177552
14300503-2,2014,503 OLDHAM AVE,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,14290850,-84.4979686636024,38.0307253487934
17290181-183,2014,181-183 SIOUX RD,07-03-2014,Housing,Notice/Order Issued,07-03-2014,false,26109500,-84.51382603824,38.0246061054748
22491508-5,2014,1508 CONTINENTAL SQ AKA 1500-1532,07-03-2014,Housing,Notice/Order Issued,07-21-2014,false,14573300,-84.4519571827031,38.0476338228247
01031733,2014,1733 BAHAMA RD,07-03-2014,Housing,Notice/Order Issued,07-08-2014,false,26840056,-84.3801976356392,38.0286382890776
13650333,2014,333 MULBERRY DR,07-03-2014,Housing,Notice/Order Issued,07-14-2014,false,13540000,-84.4517858831805,38.0183503004013
12300135CONDEM#312B,2014,135-145 MALABU DR #312B,07-07-2014,Housing,Notice/Order Issued,07-07-2014,false,15547750,-84.5166114492641,38.0026600391221
03641272EMER,2014,1272 CENTRE PKWY,07-08-2014,Housing,Notice/Order Issued,07-21-2014,false,16779281,-84.4783655616504,37.9793951237533
23942399,2014,2399 HARRODS POINTE TRCE,07-08-2014,Housing,Notice/Order Issued,07-10-2014,false,20052850,-84.5864431232247,37.9852083298106
12300135-145CONDEM#310B,2014,135-145 MALABU DR #310B,07-08-2014,Housing,Notice/Order Issued,07-21-2014,false,15547750,-84.5166114492641,38.0026600391221
